W( 0): 6162638000000000
W( 1): 0000000000000000
W( 2): 0000000000000000
W( 3): 0000000000000000
W( 4): 0000000000000000
W( 5): 0000000000000000
W( 6): 0000000000000000
W( 7): 0000000000000000
W( 8): 0000000000000000
W( 9): 0000000000000000
W(10): 0000000000000000
W(11): 0000000000000000
W(12): 0000000000000000
W(13): 0000000000000000
W(14): 0000000000000000
W(15): 0000000000000018
W(16): 6162638000000000
W(17): 00030000000000c0
W(18): 0a9699a24c700003
W(19): 00000c0060000603
W(20): 549ef62639858996
W(21): 00c0003300003c00
W(22): 1497007a8a0e9dbc
W(23): 62e56500cc0780f0
W(24): 7760dd475a538797
W(25): f1554b711c1c0003
W(26): ca2993a4345d9ff2
W(27): 5e0e66b5c783dd32
W(28): e25a625d00494b62
W(29): 9f44486fb1e4fbd2
W(30): b31b8c2b06085f2f
W(31): 0e987660934142f6
W(32): a4af2cfd09fbb924
W(33): ad289e2e0bd53186
W(34): 3c74563aa2f9673e
W(35): 6ccdcd14cc14b53f
W(36): c3f925b337f22bde
W(37): 5bcc77a75ad95b54
W(38): 3ec2257adca09a52
W(39): 28246960001fc5eb
W(40): 04e33a75ce2be88a
W(41): 7d5314b3c359e0e7
W(42): aef7a285ff251266
W(43): 0b8472581deea04f
W(44): b174e26eddc7b033
W(45): 5d63bae58ddd88de
W(46): 4c044007b744ccbb
W(47): e6a9aa4d74dc7d43
W(48): ebeaf1237248019c
W(49): 361e80b2d00f3193
W(50): 2e9839125df3b175
W(51): 3319629293ad5363
W(52): 9cbc5d89ac1b89d5
W(53): 275e23ffeeca50b7
W(54): 3b80d680bf69ef58
W(55): 0d0696933945a125
W(56): 7533eabcb786ff00
W(57): b89826cee6fbf0e5
W(58): 249b4fbcad623e9f
W(59): 4aea9df2b02d6f1e
W(60): 2cc57475a55e8d8f
